,al
0,"[0.07429413273110985, 0.9762]"
1,"[0.07314977608658374, 0.9773]"
2,"[0.07466047736499458, 0.9766]"
3,"[0.07654679232593625, 0.9761]"
4,"[0.0735160495230928, 0.9768]"
5,"[0.07445854348670691, 0.977]"
6,"[0.07627345362287015, 0.9762]"
7,"[0.07356457794029266, 0.9768]"
8,"[0.07409431297518312, 0.9772]"
9,"[0.0732647295601666, 0.9764]"
10,"[0.07471771381534636, 0.9766]"
11,"[0.07398246115110814, 0.9767]"
12,"[0.0737689768763259, 0.9766]"
13,"[0.07379683378506452, 0.9769]"
14,"[0.07601711623705923, 0.9763]"
15,"[0.0733952232407406, 0.9773]"
16,"[0.07382792583312839, 0.9773]"
17,"[0.07398318030014635, 0.9767]"
18,"[0.07467580894455314, 0.9764]"
19,"[0.07971995896846056, 0.9754]"
20,"[0.07636817633677274, 0.976]"
21,"[0.07366177286840975, 0.9771]"
22,"[0.07438119226619601, 0.9761]"
23,"[0.07898431884720922, 0.9755]"
24,"[0.10144554889518767, 0.9695]"
25,"[0.07496382627002895, 0.9764]"
26,"[0.07414830917567014, 0.9767]"
27,"[0.0759673724906519, 0.9761]"
28,"[0.07453224148694426, 0.9767]"
29,"[0.09336478212680667, 0.9715]"
30,"[0.07805200033187866, 0.9756]"
31,"[0.07499275197703391, 0.9763]"
32,"[0.07706567847430706, 0.9762]"
33,"[0.07543571139816195, 0.9769]"
34,"[0.0968478027196601, 0.9707]"
35,"[0.10233755036722869, 0.9694]"
36,"[0.07531369622573257, 0.9765]"
37,"[0.07342349163088947, 0.977]"
38,"[0.095098258889094, 0.9707]"
39,"[0.07342974432259798, 0.9772]"
40,"[0.07385065513122827, 0.9772]"
41,"[0.07417531382702292, 0.977]"
42,"[0.0737776903199032, 0.9767]"
43,"[0.08372822919450701, 0.9735]"
44,"[0.07309104382488876, 0.9775]"
45,"[0.07371583709940314, 0.977]"
46,"[0.10016310234256089, 0.9695]"
47,"[0.08291969105638564, 0.9737]"
48,"[0.09831342203672976, 0.9702]"
49,"[0.07643377139661461, 0.9758]"
50,"[0.08269404989741742, 0.9738]"
51,"[0.0959503469420597, 0.9708]"
52,"[0.07591458921600133, 0.9765]"
53,"[0.07451856037247925, 0.9766]"
54,"[0.08062581445481629, 0.9739]"
55,"[0.07397257381323726, 0.977]"
